"ID","Number of references","Number of references outside selected database","Number of self-cited references","List ID of references","Title","Authors","Source title","Publisher","Year","Link"
"1453","47","33","13","3625,2925,3521,1465,3354,4529,4555,3051,3053,4542,3054,3063,3049,156","Design optimization with computational fluid dynamic analysis of β-type Stirling engine","Xiao G., Sultan U., Ni M., Peng H., Zhou X., Wang S., Luo Z.","Applied Thermal Engineering","Elsevier Ltd","2017","10.1016/j.applthermaleng.2016.10.063"
"1454","21","20","1","889","Design, analysis and optimization of a solar dish/stirling system","Nazemi S.D., Boroushaki M.","International Journal of Renewable Energy Development","Diponegoro university Indonesia - Center of Biomass and Renewable Energy (CBIORE)","2016","10.14710/ijred.5.1.33-42"
"1455","100","93","6","4545,4556,4529,3053,1910,3604,4542","Designing a powered combined Otto and Stirling cycle power plant through multi-objective optimization approach","Ahmadi M.H., Ahmadi M.A., Pourfayaz F., Hosseinzade H., Acıkkalp E., Tlili I., Feidt M.","Renewable and Sustainable Energy Reviews","Elsevier Ltd","2016","10.1016/j.rser.2016.05.034"
"1456","45","41","4","889,1017,3531,2099","Designing a solar powered Stirling heat engine based on multiple criteria: Maximized thermal efficiency and power","Ahmadi M.H., Sayyaadi H., Dehghani S., Hosseinzade H.","Energy Conversion and Management","","2013","10.1016/j.enconman.2013.06.025"
"1457","8","6","2","3625,954","Designing a stirling engine prototype","Fadon F., Ceron E., Silio D., Fadon L.","Lecture Notes in Mechanical Engineering","Springer Heidelberg","2017","10.1007/978-3-319-45781-9_77"
"1458","116","116","0","","Designing phononic crystal with anticipated band gap through a deep learning based data-driven method","Li X., Ning S., Liu Z., Yan Z., Luo C., Zhuang Z.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112737"
"1459","44","42","2","3703,4369","Designing the efficient lithium diffusion and storage channels based on graphdiyne","Li X., Wang N., He J., Yang Z., Tu Z., Zhao F., Wang K., Yi Y., Huang C.","Carbon","Elsevier Ltd","2020","10.1016/j.carbon.2020.03.004"
"1460","50","50","0","","Detection of multiple complicated flaw clusters by dynamic variable-node XFEM with a three-step detection algorithm","Ma C., Yu T., Van Lich L., Thanh-Tung N., Bui T.Q.","European Journal of Mechanics, A/Solids","Elsevier Ltd","2020","10.1016/j.euromechsol.2020.103980"
"1461","21","21","0","","Detection of ratcheting in finite element calculations","Messner M.C., Sham T.-L.","American Society of Mechanical Engineers, Pressure Vessels and Piping Division (Publication) PVP","American Society of Mechanical Engineers (ASME)","2018","10.1115/PVP201884102"
"1462","98","94","4","2156,4162,1551,2643","Detection of void and metallic inclusion in 2D piezoelectric cantilever beam using impedance measurements","Samanta S., Nanthakumar S.S., Annabattula R.K., Zhuang X.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-018-0496-0"
"1463","84","81","3","3344,1119,3344","Determination and validation of Karagozian-Case Concrete constitutive model parameters for numerical modeling of dolomite rock","Kucewicz M., Baranowski P., Małachowski J.","International Journal of Rock Mechanics and Mining Sciences","Elsevier Ltd","2020","10.1016/j.ijrmms.2020.104302"
"1464","19","19","0","","Determination of Collapse Load of Engineering Structures using Iterative Node-based Smoothed Finite Element Analysis Method","Tran Van P., Hoang V.L., Nguyen Cong D., Pham Ngoc T.","IOP Conference Series: Materials Science and Engineering","Institute of Physics Publishing","2020","10.1088/1757-899X/869/7/072002"
"1465","21","18","1","426,889,3521","Determination of adequate regenerator for a Gamma-type Stirling engine","Gheith R., Aloui F., Ben Nasrallah S.","Applied Energy","Elsevier Ltd","2015","10.1016/j.apenergy.2014.11.011"
"1466","60","59","1","4007","Determination of impact fragments from particle analysis via smoothed particle hydrodynamics and k-means clustering","Sakong J., Woo S.-C., Kim T.-W.","International Journal of Impact Engineering","Elsevier Ltd","2019","10.1016/j.ijimpeng.2019.103387"
"1467","41","41","0","","Determination of relevant mechanical properties for the production process of polyethylene by using mesoscale molecular simulation techniques","Grommes D., Reith D.","Soft Materials","Taylor and Francis Inc.","2020","10.1080/1539445X.2020.1722692"
"1468","42","42","0","","Determination of shear strength of steel fiber RC beams: application of data-intelligence models","Al-Musawi A.A.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-018-0504-4"
"1469","39","39","0","","Determination of stress intensity factors of V-notch structures by characteristic analysis coupled with isogeometric boundary element method","Han Z., Cheng C., Yao S., Niu Z.","Engineering Fracture Mechanics","Elsevier Ltd","2019","10.1016/j.engfracmech.2019.106717"
"1470","46","46","0","","Determination of the optimal location of wells in aquifers with an accurate simulation-optimization model based on the meshless local Petrov-Galerkin","Mohtashami A., Monfared S.A.H., Azizyan G., Akbarpour A.","Arabian Journal of Geosciences","Springer","2020","10.1007/s12517-019-5039-z"
"1471","31","31","0","","Determining the crystal and electronic structures of the magnesium secondary battery cathode material MgCo2−xMnxO4 using first-principles calculations and a quantum beam during discharge","Ishibashi C., Ishida N., Kitamura N., Idemoto Y.","Journal of Materials Science","Springer","2020","10.1007/s10853-020-04979-8"
"1472","31","27","3","786,214,1736,1381","Deterministic and reliability-based lightweight design of Timoshenko composite beams","Lam-Phat T., Ho-Huu V., Nguyen-Ngoc S., Nguyen-Hoai S., Nguyen-Thoi T.","Engineering with Computers","Springer","2020","10.1007/s00366-020-00946-8"
"1473","77","73","4","1725,4466,2326,2589","Develop Boltzmann equation to simulate non-Newtonian magneto-hydrodynamic nanofluid flow using power law magnetic Reynolds number","Nguyen Q., Jamali Ghahderijani M., Bahrami M., Ahangar E.K., D'Orazio A., Bach Q.-V., Karimipour A.","Mathematical Methods in the Applied Sciences","John Wiley and Sons Ltd","2020","10.1002/mma.6513"
"1474","83","81","2","1101,3701","Develop a refined truncated cubic lattice structure for nonlinear large-amplitude vibrations of micro/nano-beams made of nanoporous materials","Sahmani S., Fattahi A.M., Ahmed N.A.","Engineering with Computers","Springer","2020","10.1007/s00366-019-00703-6"
"1475","47","47","0","","Developing a homogenization approach for estimation of in-plan effective elastic moduli of hexagonal honeycombs","Yazdanparast R., Rafiee R.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2020","10.1016/j.enganabound.2020.04.012"
"1476","39","39","0","","Developing a low-fluid pressure safety valve design through a numerical analysis approach","Barbaryan T., Hoseinzadeh S., Heyns P.S., Barbaryan M.S.","International Journal of Numerical Methods for Heat and Fluid Flow","Emerald Group Publishing Ltd.","2019","10.1108/HFF-06-2019-0508"
"1477","61","60","1","318","Developing a new computational intelligence approach for approximating the blast-induced ground vibration","Li G., Kumar D., Samui P., Rad H.N., Roy B., Hasanipanah M.","Applied Sciences (Switzerland)","MDPI AG","2020","10.3390/app10020434"
"1478","94","92","2","3708,3542","Developing a novel artificial intelligence model to estimate the capital cost of mining projects using deep neural network-based ant colony optimization algorithm","Zhang H., Nguyen H., Bui X.-N., Nguyen-Thoi T., Bui T.-T., Nguyen N., Vu D.-A., Mahesh V., Moayedi H.","Resources Policy","Elsevier Ltd","2020","10.1016/j.resourpol.2020.101604"
"1479","50","50","0","","Developing a predictive method based on optimized M5Rules–GA predicting heating load of an energy-efficient building system","Bui X.-N., Moayedi H., Rashid A.S.A.","Engineering with Computers","Springer","2020","10.1007/s00366-019-00739-8"
"1480","16","16","0","","Development and analysis of heat exchanger for efficient heat transfer for L-shape wind tunnel","More P., Gadhave S.","International Journal of Engineering and Advanced Technology","Blue Eyes Intelligence Engineering and Sciences Publication","2019","10.35940/ijeat.F8674.088619"
"1481","395","387","8","2662,328,3249,3491,239,4031,4025,4531","Development and applications of shear deformation theories for laminated composite plates: An overview","Maji A., Mahato P.K.","Journal of Thermoplastic Composite Materials","SAGE Publications Ltd","2020","10.1177/0892705720930765"
"1482","37","34","3","3617,2532,3188","Development and validation of a thermodynamic model for the performance analysis of a gamma Stirling engine prototype","Araoz J.A., Cardozo E., Salomon M., Alejo L., Fransson T.H.","Applied Thermal Engineering","Elsevier Ltd","2015","10.1016/j.applthermaleng.2015.03.006"
"1483","46","46","0","","Development of SFEM-Pre: A Novel Preprocessor for Model Creation for the Smoothed Finite Element Method","Zhang J.F., Niu R.P., Zhang Y.F., Wang C.Q., Li M., Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218450020"
"1484","57","57","0","","Development of User Element Routine (UEL) for Cell-Based Smoothed Finite Element Method (CSFEM) in Abaqus","Kumbhar P.Y., Francis A., Swaminathan N., Annabattula R.K., Natarajan S.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218501281"
"1485","31","31","0","","Development of a 4-node hybrid stress tetrahedral element using a node-based smoothed finite element method","Choi J.H., Lee B.C.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2018","10.1002/nme.5717"
"1486","43","43","0","","Development of a Software Package of Smoothed Finite Element Method (S-FEM) for Solid Mechanics Problems","Niu R.P., Liu G.R., Yue J.H.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218450044"
"1487","32","30","2","1,4548","Development of a compact simple unpressurized Watt-level low-temperature-differential Stirling engine","Huang H.-D., Chen W.-L.","International Journal of Energy Research","John Wiley and Sons Ltd","2020","10.1002/er.5852"
"1488","122","121","1","2534","Development of a group method of data handling technique to forecast iron ore price","Li D., Moghaddam M.R., Monjezi M., Armaghani D.J., Mehrdanesh A.","Applied Sciences (Switzerland)","MDPI AG","2020","10.3390/app10072364"
"1489","15","15","0","","Development of a new magnetorheological fluid–based brake with multiple coils placed on the side housings","Nguyen N.D., Le-Duc T., Hiep L.D., Nguyen Q.H.","Journal of Intelligent Material Systems and Structures","SAGE Publications Ltd","2019","10.1177/1045389X18818385"
"1490","31","31","0","","Development of a perfect match system in the improvement of eigenfrequencies of free vibration","Li E., He Z.C.","Applied Mathematical Modelling","Elsevier Inc.","2017","10.1016/j.apm.2017.02.013"
"1491","41","41","0","","Development of a track dynamics model using Mindlin plate theory and its application to coupled vehicle-floating slab track systems","Luo J., Zhu S., Zhai W.","Mechanical Systems and Signal Processing","Academic Press","2020","10.1016/j.ymssp.2020.106641"
"1492","21","17","3","4558,954,4443,4556","Development of a transient model of a stirling-based CHP system","Ulloa C., Míguez J.L., Porteiro J., Eguía P., Cacabelos A.","Energies","MDPI AG","2013","10.3390/en6073115"
"1493","27","26","1","4049","Development of an explicit smoothed particle finite element method for geotechnical applications","Yuan W.-H., Wang B., Zhang W., Jiang Q., Feng X.-T.","Computers and Geotechnics","Elsevier Ltd","2019","10.1016/j.compgeo.2018.10.010"
"1494","29","23","3","4558,955,4433,954,4556,4443","Development of an improved dynamic model of a Stirling engine and a performance analysis of a cogeneration plant","Cacabelos A., Eguía P., Míguez J.L., Rey G., Arce M.E.","Applied Thermal Engineering","Elsevier Ltd","2014","10.1016/j.applthermaleng.2014.07.078"
"1495","55","53","2","1455,1926","Development of an innovative cogeneration system for fresh water and power production by renewable energy using thermal energy storage system","Ghorbani B., Shirmohammadi R., Mehrpooya M.","Sustainable Energy Technologies and Assessments","Elsevier Ltd","2020","10.1016/j.seta.2019.100572"
"1496","43","43","0","","Development of analogy method for thermal-fatigue crack propagation in pressurized cylinder by using permeation diffusion-fracture model","Yan Z., Tang M., Chen G., Wang T., Li X., Zhuang Z.","Engineering Fracture Mechanics","Elsevier Ltd","2019","10.1016/j.engfracmech.2019.106710"
"1497","59","58","1","2643","Development of dimensionless P-I diagram for curved SCS sandwich shell subjected to uniformly distributed blast pressure","Wang Y., Zhai X.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-019-0566-y"
"1498","60","48","12","705,410,218,582,169,548,549,3689,3103,754,3068,3650","Development of element model subroutines for implicit and explicit analysis considering large deformations","Tian H., Li S., Cui X.","Advances in Engineering Software","Elsevier Ltd","2020","10.1016/j.advengsoft.2020.102805"
"1499","35","35","0","","Development of extraction techniques for dielectric constant from free-space measured S-parameters between 50 and 170 GHz","Ozturk T., Elhawil A., Uluer İ., Guneser M.T.","Journal of Materials Science: Materials in Electronics","Springer New York LLC","2017","10.1007/s10854-017-6953-z"
"1500","10","10","0","","Development of feed-in tariff for PV in the Kingdom of Saudi Arabia","Ko W., Al-Ammar E., Almahmeed M.","Energies","MDPI AG","2019","10.3390/en12152898"
"1501","95","94","1","2534","Development of fuzzy-GMDH model optimized by GSA to predict rock tensile strength based on experimental datasets","Harandizadeh H., Armaghani D.J., Mohamad E.T.","Neural Computing and Applications","Springer","2020","10.1007/s00521-020-04803-z"
"1502","35","35","0","","Development of the formalism of the discrete element method for the study of the mechanical behavior of liquid-saturated porous materials on a pore scale","Shilko E.V., Grigoriev A.S., Lotkov A.I.","Journal of Physics: Conference Series","Institute of Physics Publishing","2019","10.1088/1742-6596/1391/1/012023"
"1503","47","47","0","","Development of thermal equivalent circuit model of heat pipe-based thermal management system for a battery module with cylindrical cells","Gan Y., Wang J., Liang J., Huang Z., Hu M.","Applied Thermal Engineering","Elsevier Ltd","2020","10.1016/j.applthermaleng.2019.114523"
"1504","25","25","0","","Development of three-dimensional GSM-CFD solver for compressible flows","Yao J., Wu W., Zhang K., Sun D., Liu Y., Ning H., Hu N., Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2017","10.1142/S0219876217500372"
"1505","50","50","0","","Diboron-porphyrin monolayer: A new 2D semiconductor","Tromer R.M., Felix I.M., Freitas A., Azevedo S., Pereira L.F.C.","Computational Materials Science","Elsevier B.V.","2020","10.1016/j.commatsci.2019.109338"
"1506","50","49","1","2778","Dielectric properties and compensation behaviors of a monolayer naphthalene-like nanoisland: Monte Carlo simulations","Fadil Z., Mhirech A., Kabouchi B., Bahmad L., Benomar W.O.","Chinese Journal of Physics","Physical Society of the Republic of China","2020","10.1016/j.cjph.2020.06.011"
"1507","31","30","1","1689","Diesel engine performance and emission analysis running on jojoba biodiesel using intelligent hybrid prediction techniques","Kumar Singh N., Singh Y., Sharma A., Kumar S.","Fuel","Elsevier Ltd","2020","10.1016/j.fuel.2020.118571"
"1508","66","66","0","","Different sampling strategies for predicting landslide susceptibilities are deemed less consequential with deep learning","Dou J., Yunus A.P., Merghadi A., Shirzadi A., Nguyen H., Hussain Y., Avtar R., Chen Y., Pham B.T., Yamagishi H.","Science of the Total Environment","Elsevier B.V.","2020","10.1016/j.scitotenv.2020.137320"
"1509","41","40","1","836","Differential evolution algorithm with multiple mutation strategies based on roulette wheel selection","Qian W., Chai J., Xu Z., Zhang Z.","Applied Intelligence","Springer New York LLC","2018","10.1007/s10489-018-1153-y"
"1510","24","24","0","","Differential evolution with center-based mutation for large-scale optimization","Hiba H., Mahdavi S., Rahnamayan S.","2017 IEEE Symposium Series on Computational Intelligence, SSCI 2017 - Proceedings","Institute of Electrical and Electronics Engineers Inc.","2018","10.1109/SSCI.2017.8280938"
"1511","60","60","0","","Differential evolutionary algorithm with an evolutionary state estimation method and a two-level selection mechanism","Li Y., Li G.","Soft Computing","Springer","2020","10.1007/s00500-019-04621-z"
"1512","78","77","1","1089","Differential quadrature method for magneto-hygrothermal bending of functionally graded graphene/Al sandwich-curved beams with honeycomb core via a new higher-order theory","Sobhy M.","Journal of Sandwich Structures and Materials","SAGE Publications Ltd","2020","10.1177/1099636219900668"
"1513","51","50","1","4169","Differential scheme-based stochastic micromechanical framework for saturated concrete repaired by EDM","Chen Q., Ma R., Jiang Z., Zhu H., Li H., Yang X., Ju J.-W., Yan Z.","Acta Mechanica","Springer-Verlag Wien","2019","10.1007/s00707-019-02511-x"
"1514","120","120","0","","Diffuse ceiling ventilation for buildings: A review of fundamental theories and research methodologies","Wu W., Yoon N., Tong Z., Chen Y., Lv Y., Ærenlund T., Benner J.","Journal of Cleaner Production","Elsevier Ltd","2019","10.1016/j.jclepro.2018.11.148"
"1515","62","61","1","785","Diffusion parameters analysis in a content-based image retrieval task for mobile vision","Magliani F., Sani L., Cagnoni S., Prati A.","Sensors (Switzerland)","MDPI AG","2020","10.3390/s20164449"
"1516","35","35","0","","Digital spatial cracking behaviors of fine-grained sandstone with precracks under uniaxial compression","Zhou X.-P., Zhao Z., Liu Y.","International Journal for Numerical and Analytical Methods in Geomechanics","John Wiley and Sons Ltd","2020","10.1002/nag.3088"
"1517","550","550","0","","Digital twin: Values, challenges and enablers from a modeling perspective","Rasheed A., San O., Kvamsdal T.","IEEE Access","Institute of Electrical and Electronics Engineers Inc.","2020","10.1109/ACCESS.2020.2970143"
"1518","52","52","0","","Dilution effects on compensation temperature in borophene core-shell structure: Monte Carlo simulations","Fadil Z., Mhirech A., Kabouchi B., Bahmad L., Benomar W.O.","Solid State Communications","Elsevier Ltd","2020","10.1016/j.ssc.2020.113944"
"1519","50","32","17","4542,1017,3066,1456,4529,2980,4551,3971,2814,4301,3512,3554,2462,889,4158,4159,1453,1453","Dimensional synthesis of the Stirling engine based on optimizing the output work by evolutionary algorithms","Rahmati A., Varedi-Koulaei S.M., Ahmadi M.H., Ahmadi H.","Energy Reports","Elsevier Ltd","2020","10.1016/j.egyr.2020.05.030"
"1520","42","42","0","","Dimensionless variation of seepage in porous media with cracks stimulated by low-frequency vibration","Zheng L., Han X., Yang X., Chu Q., Li G.","CMES - Computer Modeling in Engineering and Sciences","Tech Science Press","2020","10.32604/cmes.2020.07588"
"1521","54","53","1","4162","Direct dynamic tensile study of concrete materials based on mesoscale model","Guo R., Ren H., Zhang L., Long Z., Jiang X., Wu X., Wang H.","International Journal of Impact Engineering","Elsevier Ltd","2020","10.1016/j.ijimpeng.2020.103598"
"1522","80","80","0","","Direct extraction of stress intensity factors for geometrically elaborate cracks using a high-order Numerical Manifold Method","Wu J., Wang Y., Cai Y., Ma G.","Engineering Fracture Mechanics","Elsevier Ltd","2020","10.1016/j.engfracmech.2020.106963"
"1523","37","37","0","","Direct method for second-order sensitivity analysis of modal strain energy","Lei S., Li L., Tian W., Lei M.","Journal of Sound and Vibration","Academic Press","2019","10.1016/j.jsv.2019.114926"
"1524","13","12","1","3946","Direct plastic structural design by chance constrained programming","Tran N.-T., Matthies H.G., Stavroulakis G.E., Staat M.","Proceedings of the 6th European Conference on Computational Mechanics: Solids, Structures and Coupled Problems, ECCM 2018 and 7th European Conference on Computational Fluid Dynamics, ECFD 2018","International Centre for Numerical Methods in Engineering, CIMNE","2020",""
"1525","46","46","0","","Direct plastic structural design under lognormally distributed strength by chance constrained programming","Trần N.T., Staat M.","Optimization and Engineering","Springer","2020","10.1007/s11081-019-09437-2"
"1526","27","27","0","","Directivity of sound radiated from baffled rectangular plates and plate strips","Li Q., Thompson D.J.","Applied Acoustics","Elsevier Ltd","2019","10.1016/j.apacoust.2019.05.018"
"1527","72","68","4","723,2086,2731,2374","Dirichlet absorbing boundary conditions for classical and peridynamic diffusion-type models","Shojaei A., Hermann A., Seleson P., Cyron C.J.","Computational Mechanics","Springer","2020","10.1007/s00466-020-01879-1"
"1528","41","30","11","2936,3127,4069,4070,3341,3647,613,3132,2519,1003,3378","Discharging of PCM for ventilation system incorporating nanoparticles","Hajizadeh M.R., Abohamzeh E., Tiwari A.K., Sheremet M.A., Li Z., Bach Q.-V.","Journal of Molecular Liquids","Elsevier B.V.","2020","10.1016/j.molliq.2020.113696"
"1529","27","27","0","","Discontinuous deformation analysis handling vertex-vertex contact based on principle of least effort","Fan H., Huang D., Wang G.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2020","10.1002/nme.6427"
"1530","94","91","3","365,469,2886","Discrete modeling of fiber reinforced composites using the scaled boundary finite element method","Zhang J., Eisenträger J., Duczek S., Song C.","Composite Structures","Elsevier Ltd","2020","10.1016/j.compstruct.2019.111744"
"1531","58","54","4","2400,3646,4456,1302","Discrete ordinates thermal radiation with mixed convection to involve nanoparticles absorption, scattering and dispersion along radiation beams through the nanofluid","Nguyen Q., Beni M.H., Parsian A., Malekahmadi O., Karimipour A.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-10005-5"
"1532","61","61","0","","Discrete sizing/layout/topology optimization of truss structures with an advanced Jaya algorithm","Degertekin S.O., Lamberti L., Ugur I.B.","Applied Soft Computing Journal","Elsevier Ltd","2019","10.1016/j.asoc.2019.03.058"
"1533","24","24","0","","Discrete sliding mode control strategy for start-up and steady-state of boost converter","Yang T., Liao Y.","Energies","MDPI AG","2019","10.3390/en12152990"
"1534","20","16","4","1922,1456,3531,4556","Dish stirling system potential assessment for eight main sites in Madagascar","Praene J.P., Radanielina M.H., Rakotondramiarana H.T.","JP Journal of Heat and Mass Transfer","Pushpa Publishing House","2016","10.17654/HM013010119"
"1535","20","20","0","","Dish-Stirling solar power plants: Modeling, Analysis, and Control of receiver temperature","Li Y., Choi S.S., Yang C.","IEEE Transactions on Sustainable Energy","","2014","10.1109/TSTE.2013.2291572"
"1536","60","58","2","2489,1863","Dissipative flow of hybrid nanomaterial with entropy optimization","Khan M.I., Ahmad Khan M.W., Hayat T., Alsaedi A.","Materials Research Express","Institute of Physics Publishing","2019","10.1088/2053-1591/ab1b88"
"1537","29","29","0","","Dissipative heat energy on Cu and Al2O3 ethylene–glycol-based nanofluid flow over a heated semi-infinite vertical plate","Mishra A.K., Pattnaik P.K., Mishra S.R., Senapati N.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09666-z"
"1538","81","81","0","","Distortion-resistant and locking-free eight-node elements effectively capturing the edge effects of Mindlin-Reissner plates","Bao Y., Cen S., Li C.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2017","10.1108/EC-04-2016-0143"
"1539","49","49","0","","Distributed modeling of smart parking system using LSTM with stochastic periodic predictions","Anagnostopoulos T., Fedchenkov P., Tsotsolas N., Ntalianis K., Zaslavsky A., Salmon I.","Neural Computing and Applications","Springer","2020","10.1007/s00521-019-04613-y"
"1540","57","56","1","994","Divergence and flutter instability of magneto-thermo-elastic C-BN hetero-nanotubes conveying fluid","Sedighi H.M.","Acta Mechanica Sinica/Lixue Xuebao","Springer Verlag","2020","10.1007/s10409-019-00924-4"
"1541","46","45","1","1301","Diverse discrete material optimization for multi-patch laminates under vibration environment","Ma X., Tian K., Li H., Wang F., Hao P.","Structural and Multidisciplinary Optimization","Springer","2020","10.1007/s00158-020-02585-5"
"1542","57","56","1","1016","Domain-decomposition generalized finite difference method for stress analysis in multi-layered elastic materials","Wang Y., Gu Y., Fan C.-M., Chen W., Zhang C.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2018","10.1016/j.enganabound.2018.06.006"
"1543","31","30","1","4162","Drag reduction performance of paddy soil-engaging components with fish scale like morphology","Wu L., Wang H., Song Y., Wen J., Zhang B., Liu Z., Liu C.","International Agricultural Engineering Journal","Asian Association for Agricultural Engineering","2019",""
"1544","23","23","0","","Dual solution of boundary-layer flow driven by variable plate and streaming-free velocity","Ferdows M., Alzahrani F., Sun S.","Advances in Mechanical Engineering","SAGE Publications Inc.","2020","10.1177/1687814020930849"
"1545","49","40","9","4095,2509,3429,2427,4096,1547,2726,1682,2784","Dual solutions and stability analysis of a hybrid nanofluid over a stretching/shrinking sheet executing MHD flow","Lund L.A., Omar Z., Khan I., Sherif E.-S.M.","Symmetry","MDPI AG","2020","10.3390/sym12020276"
"1546","59","56","3","3587,4096,3772","Dual solutions and stability analysis of magnetized hybrid nanofluid with joule heating and multiple slip conditions","Yan L., Dero S., Khan I., Mari I.A., Baleanu D., Nisar K.S., Sherif E.-S.M., Abdo H.S.","Processes","MDPI AG","2020","10.3390/pr8030332"
"1547","38","36","2","910,3772","Dual solutions and stability analysis of micropolar nanofluid flow with slip effect on stretching/shrinking surfaces","Dero S., Rohni A.M., Saaban A., Khan I.","Energies","MDPI AG","2019","10.3390/en12234529"
"1548","53","53","0","","Dual-Horizon Peridynamics Analysis of Debonding Failure in FRP-to-Concrete Bonded Joints","Li W., Guo L.","International Journal of Concrete Structures and Materials","Korea Concrete Institute","2019","10.1186/s40069-018-0328-6"
"1549","22","22","0","","Dual-Switch Boost DC-DC Converter for Use in Fuel-Cell-Powered Vehicles","Wu X., Shi W., Du J.","IEEE Access","Institute of Electrical and Electronics Engineers Inc.","2019","10.1109/ACCESS.2019.2917529"
"1550","57","56","1","227","Dual-channel bistable switch based on a monolayer graphene nanoribbon nanoresonator coupled to a metal nanoparticle","Xiao X.-J., Tan Y., Guo Q.-Q., Li J.-B., Liang S., Xiao S., Zhong H.-H., He M.-D., Liu L.-H., Luo J.-H., Chen L.-Q.","Optics Express","OSA - The Optical Society","2020","10.1364/OE.383493"
"1551","42","42","0","","Dual-horizon peridynamics: A stable solution to varying horizons","Ren H., Zhuang X., Rabczuk T.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2017","10.1016/j.cma.2016.12.031"
"1552","43","39","4","4031,3250,3249,2636","Dynamic Analysis of Laminated Composite Plate Integrated with a Piezoelectric Actuator Using Four-Variable Refined Plate Theory","Rouzegar J., Koohpeima R., Abad F.","Iranian Journal of Science and Technology - Transactions of Mechanical Engineering","Springer","2020","10.1007/s40997-019-00284-1"
"1553","46","45","1","4132","Dynamic Analysis of Rectangular Plate Stiffened by Any Number of Beams with Different Lengths and Orientations","Cao Y., Zhong R., Shao D., Wang Q., Guan X.","Shock and Vibration","Hindawi Limited","2019","10.1155/2019/2364515"
"1554","39","39","0","","Dynamic Analysis of a Plate on the Generalized Foundation with Fractional Damping Subjected to Random Excitation","Hosseinkhani A., Younesian D., Farhangdoust S.","Mathematical Problems in Engineering","Hindawi Limited","2018","10.1155/2018/3908371"
"1555","38","37","1","1450","Dynamic Control of a DFIG Wind Power Generation System to Mitigate Unbalanced Grid Voltage","Eltamaly A.M., Al-Saud M.S., Abo-Khalil A.G.","IEEE Access","Institute of Electrical and Electronics Engineers Inc.","2020","10.1109/ACCESS.2020.2976195"
"1556","37","37","0","","Dynamic Fracture Simulation by Using a Discretized Virtual Internal Bond with a Regular Hexagon Cell","Chen Y., Zhang Z.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2017","10.1142/S0219876217500669"
"1557","49","48","1","305","Dynamic Response of FG-CNT Composite Plate Resting on an Elastic Foundation Based on Higher-Order Shear Deformation Theory","Adhikari B., Singh B.N.","Journal of Aerospace Engineering","American Society of Civil Engineers (ASCE)","2019","10.1061/(ASCE)AS.1943-5525.0001052"
"1558","9","9","0","","Dynamic Response of FGM Kirchhoff’s Plate","Mohanty P., Behera R.K.","Lecture Notes in Mechanical Engineering","Springer","2020","10.1007/978-981-15-1201-8_59"
"1559","42","40","2","365,1460","Dynamic XFEM-based detection of multiple flaws using an improved artificial bee colony algorithm","Du C., Zhao W., Jiang S., Deng X.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.112995"
"1560","26","26","0","","Dynamic analyses of functionally graded plates with curvilinear stiffeners and cutouts","Qin X.C., Dong C.Y., Yang H.S.","AIAA Journal","American Institute of Aeronautics and Astronautics Inc.","2019","10.2514/1.J058332"
"1561","20","20","0","","Dynamic analysis of beams on two-parameter viscoelastic pasternak foundation subjected to the moving load and considering effects of beam roughness","Tran-Quoc T., Nguyen-Trong H., Khong-Trong T.","Lecture Notes in Mechanical Engineering","Pleiades Publishing","2018","10.1007/978-981-10-7149-2_79"
"1562","48","46","2","2666,3461","Dynamic analysis of folded laminated composite plate using nonpolynomial shear deformation theory","Thakur B.R., Verma S., Singh B.N., Maiti D.K.","Aerospace Science and Technology","Elsevier Masson SAS","2020","10.1016/j.ast.2020.106083"
"1563","93","91","1","4346,2254","Dynamic analysis of functionally graded carbon nanotubes-reinforced plate and shell structures using a double directors finite shell element","Frikha A., Zghal S., Dammak F.","Aerospace Science and Technology","Elsevier Masson SAS","2018","10.1016/j.ast.2018.04.048"
